trial_id,source_trial_id,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,target_image,target_role
isolated_list1_d018_set1_it_coh_list1,d018_set1_it_coh_list1,1,18,018_yawn_put_on_cap,yawn_put_on_cap,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,69,../psychopy_gurung_v1/JpegStimuliFullRes/18_yawn_put on cap/1/it_target.jpg,it_target
isolated_list1_d018_set2_tr_coh_list1,d018_set2_tr_coh_list1,1,18,018_yawn_put_on_cap,yawn_put_on_cap,2,tr_coh,transitive_cohesive,cohesive,transitive,1,70,../psychopy_gurung_v1/JpegStimuliFullRes/18_yawn_put on cap/2/tr_target.jpg,tr_target
isolated_list1_d018_set3_tr_coh_list1,d018_set3_tr_coh_list1,1,18,018_yawn_put_on_cap,yawn_put_on_cap,3,tr_coh,transitive_cohesive,cohesive,transitive,1,71,../psychopy_gurung_v1/JpegStimuliFullRes/18_yawn_put on cap/3/tr_target.jpg,tr_target
isolated_list1_d018_set4_it_coh_list1,d018_set4_it_coh_list1,1,18,018_yawn_put_on_cap,yawn_put_on_cap,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,72,../psychopy_gurung_v1/JpegStimuliFullRes/18_yawn_put on cap/4/it_target.jpg,it_target
isolated_list1_d019_set1_it_coh_list1,d019_set1_it_coh_list1,1,19,019_sit_crack_egg,sit_crack_egg,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,73,../psychopy_gurung_v1/JpegStimuliFullRes/19_sit_crack egg/1/it_target.jpg,it_target
isolated_list1_d019_set2_tr_coh_list1,d019_set2_tr_coh_list1,1,19,019_sit_crack_egg,sit_crack_egg,2,tr_coh,transitive_cohesive,cohesive,transitive,1,74,../psychopy_gurung_v1/JpegStimuliFullRes/19_sit_crack egg/2/tr_target.jpg,tr_target
isolated_list1_d019_set3_tr_coh_list1,d019_set3_tr_coh_list1,1,19,019_sit_crack_egg,sit_crack_egg,3,tr_coh,transitive_cohesive,cohesive,transitive,1,75,../psychopy_gurung_v1/JpegStimuliFullRes/19_sit_crack egg/3/tr_target.jpg,tr_target
isolated_list1_d019_set4_it_coh_list1,d019_set4_it_coh_list1,1,19,019_sit_crack_egg,sit_crack_egg,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,76,../psychopy_gurung_v1/JpegStimuliFullRes/19_sit_crack egg/4/it_target.jpg,it_target
isolated_list1_d020_set1_it_coh_list1,d020_set1_it_coh_list1,1,20,020_come_plant_sapling,come_plant_sapling,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,77,../psychopy_gurung_v1/JpegStimuliFullRes/20_come_plant sapling/1/it_target.jpg,it_target
isolated_list1_d020_set2_tr_coh_list1,d020_set2_tr_coh_list1,1,20,020_come_plant_sapling,come_plant_sapling,2,tr_coh,transitive_cohesive,cohesive,transitive,1,78,../psychopy_gurung_v1/JpegStimuliFullRes/20_come_plant sapling/2/tr_target.jpg,tr_target
isolated_list1_d020_set3_tr_coh_list1,d020_set3_tr_coh_list1,1,20,020_come_plant_sapling,come_plant_sapling,3,tr_coh,transitive_cohesive,cohesive,transitive,1,79,../psychopy_gurung_v1/JpegStimuliFullRes/20_come_plant sapling/3/tr_target.jpg,tr_target
isolated_list1_d020_set4_it_coh_list1,d020_set4_it_coh_list1,1,20,020_come_plant_sapling,come_plant_sapling,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,80,../psychopy_gurung_v1/JpegStimuliFullRes/20_come_plant sapling/4/it_target.jpg,it_target
isolated_list1_d021_set1_it_coh_list1,d021_set1_it_coh_list1,1,21,021_cough_burn_bottles,cough_burn_bottles,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,81,../psychopy_gurung_v1/JpegStimuliFullRes/21_cough_burn bottles/1/it_target.jpg,it_target
isolated_list1_d021_set2_tr_coh_list1,d021_set2_tr_coh_list1,1,21,021_cough_burn_bottles,cough_burn_bottles,2,tr_coh,transitive_cohesive,cohesive,transitive,1,82,../psychopy_gurung_v1/JpegStimuliFullRes/21_cough_burn bottles/2/tr_target.jpg,tr_target
isolated_list1_d021_set3_tr_coh_list1,d021_set3_tr_coh_list1,1,21,021_cough_burn_bottles,cough_burn_bottles,3,tr_coh,transitive_cohesive,cohesive,transitive,1,83,../psychopy_gurung_v1/JpegStimuliFullRes/21_cough_burn bottles/3/tr_target.jpg,tr_target
isolated_list1_d021_set4_it_coh_list1,d021_set4_it_coh_list1,1,21,021_cough_burn_bottles,cough_burn_bottles,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,84,../psychopy_gurung_v1/JpegStimuliFullRes/21_cough_burn bottles/4/it_target.jpg,it_target
