original_trial_index,recovery_source,trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
11,participant_261_csv_screenshots_2026-08-26,d022_set2_it_ic_list1,172,1,22,022_come_push_chest,come_push_chest,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,86,3,JpegStimuliFullRes/22_come_push chest/2/ic_1.jpg,ic_1,JpegStimuliFullRes/22_come_push chest/2/it_target.jpg,it_target,JpegStimuliFullRes/22_come_push chest/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/22_come_push chest
12,participant_261_csv_screenshots_2026-08-26,d011_set3_it_ic_list1,86,1,11,011_ascend_wipe_plate,ascend_wipe_plate,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,43,3,JpegStimuliFullRes/11_ascend_wipe plate/3/ic_1.jpg,ic_1,JpegStimuliFullRes/11_ascend_wipe plate/3/it_target.jpg,it_target,JpegStimuliFullRes/11_ascend_wipe plate/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
13,participant_261_csv_screenshots_2026-08-26,d021_set3_tr_coh_list1,165,1,21,021_cough_burn_bottles,cough_burn_bottles,3,tr_coh,transitive_cohesive,cohesive,transitive,1,83,3,JpegStimuliFullRes/21_cough_burn bottles/3/coh_1.jpg,coh_1,JpegStimuliFullRes/21_cough_burn bottles/3/coh_2.jpg,coh_2,JpegStimuliFullRes/21_cough_burn bottles/3/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
14,participant_261_csv_screenshots_2026-08-26,d006_set2_it_ic_list1,44,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,22,3,JpegStimuliFullRes/6_sleep_pluck tomatoes/2/ic_1.jpg,ic_1,JpegStimuliFullRes/6_sleep_pluck tomatoes/2/it_target.jpg,it_target,JpegStimuliFullRes/6_sleep_pluck tomatoes/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/6_sleep_pluck tomatoes
15,participant_261_csv_screenshots_2026-08-26,d021_set4_it_coh_list1,167,1,21,021_cough_burn_bottles,cough_burn_bottles,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,84,4,JpegStimuliFullRes/21_cough_burn bottles/4/coh_1.jpg,coh_1,JpegStimuliFullRes/21_cough_burn bottles/4/coh_2.jpg,coh_2,JpegStimuliFullRes/21_cough_burn bottles/4/it_target.jpg,it_target,JpegStimuliFullRes/21_cough_burn bottles/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
16,participant_261_csv_screenshots_2026-08-26,d017_set1_it_coh_list1,129,1,17,017_rest_hang_picture,rest_hang_picture,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,65,4,JpegStimuliFullRes/17_rest_hang picture/1/coh_1.jpg,coh_1,JpegStimuliFullRes/17_rest_hang picture/1/coh_2.jpg,coh_2,JpegStimuliFullRes/17_rest_hang picture/1/it_target.jpg,it_target,JpegStimuliFullRes/17_rest_hang picture/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/17_rest_hang picture
17,participant_261_csv_screenshots_2026-08-26,d026_set2_it_ic_list1,204,1,26,026_sleep_drag_log,sleep_drag_log,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,102,3,JpegStimuliFullRes/26_sleep_drag log/2/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/2/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/26_sleep_drag log
18,participant_261_csv_screenshots_2026-08-26,d004_set4_it_coh_list1,31,1,4,004_run_drink_tea,run_drink_tea,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,16,4,JpegStimuliFullRes/4_run_drink tea/4/coh_1.jpg,coh_1,JpegStimuliFullRes/4_run_drink tea/4/coh_2.jpg,coh_2,JpegStimuliFullRes/4_run_drink tea/4/it_target.jpg,it_target,JpegStimuliFullRes/4_run_drink tea/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/4_run_drink tea
19,participant_261_csv_screenshots_2026-08-26,d002_set4_it_coh_list1,15,1,2,002_stand_weave_basket,stand_weave_basket,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,8,4,JpegStimuliFullRes/2_stand_weave basket/4/coh_1.jpg,coh_1,JpegStimuliFullRes/2_stand_weave basket/4/coh_2.jpg,coh_2,JpegStimuliFullRes/2_stand_weave basket/4/it_target.jpg,it_target,JpegStimuliFullRes/2_stand_weave basket/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/2_stand_weave basket
20,participant_261_csv_screenshots_2026-08-26,d019_set4_tr_ic_list1,152,1,19,019_sit_crack_egg,sit_crack_egg,4,tr_ic,transitive_incohesive,incohesive,transitive,2,76,3,JpegStimuliFullRes/19_sit_crack egg/4/ic_1.jpg,ic_1,JpegStimuliFullRes/19_sit_crack egg/4/tr_target.jpg,tr_target,JpegStimuliFullRes/19_sit_crack egg/4/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/19_sit_crack egg
