index,status,source_relative,target_relative,source_bytes,source_width,source_height,source_colorspace,target_bytes,target_width,target_height,target_colorspace,target_sha256
46,skipped_exists,2_stand_weave basket/2/ic_1.png,2_stand_weave basket/2/ic_1.jpg,2780236,1024,1536,sRGB,375503,1024,1536,sRGB,98d966de464c7890522522c5d86ddbac1293b3cdb83fee6e4104d114b5d1528a
47,skipped_exists,2_stand_weave basket/2/it_target.png,2_stand_weave basket/2/it_target.jpg,2183375,1024,1536,sRGB,216107,1024,1536,sRGB,43709f9181fa78bbbd3e6eff1203c0432bc8c75bebae5b1769a0e0eec4e812d0
48,skipped_exists,2_stand_weave basket/2/tr_target.png,2_stand_weave basket/2/tr_target.jpg,2250652,1024,1536,sRGB,229305,1024,1536,sRGB,020dade7a594bfcd458c9269e876ccdd9ff8b4c452e3760e9f4c022c80f67e83
49,skipped_exists,2_stand_weave basket/3/coh_1.png,2_stand_weave basket/3/coh_1.jpg,2041429,1024,1535,sRGB,176406,1024,1536,sRGB,1f3fbe8428f07b9b08bc89c8c486ccfb39c00010fdf045ce61853316536c8b77
50,skipped_exists,2_stand_weave basket/3/coh_2.png,2_stand_weave basket/3/coh_2.jpg,2467035,1024,1536,sRGB,257580,1024,1536,sRGB,289c446774e85315926946c6adc76007dd4ff97172010757928d4d47c7925c22
51,skipped_exists,2_stand_weave basket/3/end_coh_it.png,2_stand_weave basket/3/end_coh_it.jpg,2557094,1024,1536,sRGB,270146,1024,1536,sRGB,34e943ebe2f66cbf477eb983ae0d1d4e26629cd83625a4fc6d1b20ab9b09f47f
52,converted,2_stand_weave basket/3/end_ic_it.png,2_stand_weave basket/3/end_ic_it.jpg,2718909,1024,1536,sRGB,305023,1024,1536,sRGB,db6ecae3cc97b4826cd40d6cebdd0b770e17f7effc879f359c1e1c30ed47907a
53,skipped_exists,2_stand_weave basket/3/end_ic_tr.png,2_stand_weave basket/3/end_ic_tr.jpg,2348276,1024,1536,sRGB,255712,1024,1536,sRGB,2fe2ab06f1db992e7063b147098f85737a0caf3d6ceee29cf43f265710bfb443
54,skipped_exists,2_stand_weave basket/3/ic_1.png,2_stand_weave basket/3/ic_1.jpg,2394107,1024,1536,sRGB,272649,1024,1536,sRGB,39c858b0c81d7fd98bd162f44767ebc7ea9aac6a3439177d24f87214d0390f4f
55,skipped_exists,2_stand_weave basket/3/it_target.png,2_stand_weave basket/3/it_target.jpg,2612064,1024,1536,sRGB,284125,1024,1536,sRGB,b2e6f4fa62196c884ff0d97b5775d0bdfca2e16a0829ad1f4cc7b31d00fb316e
